Clock frequency is approx. 1200.1 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
128m	4298	2367	1620	1203	997	816	713	646	585	546	533	502	461	430	409	377	411	404	398	389	393	393	393	409	422	413	419	429	408	400	387	353	
64m	4387	2457	1719	1311	1065	898	782	677	645	605	550	505	477	469	468	389	477	484	467	502	499	496	501	607	720	729	743	656	738	915	798	378	
32m	4719	2979	2002	1507	1215	1016	878	768	709	684	637	631	633	782	759	521	916	868	981	1080	961	992	991	1186	984	1175	1262	1264	1030	1276	1253	491	
16m	7562	4156	3001	2235	1831	1525	1277	1184	1184	1164	1126	1130	1020	1111	1114	982	1111	1089	1064	1015	1028	1129	1001	964	962	981	1239	927	951	1234	1281	940	
8m	9972	5147	3405	2562	2049	1636	1465	1278	1238	1199	1168	1130	1116	1110	1109	1067	1084	1067	1040	1022	1014	983	950	940	927	955	928	920	917	909	930	1087	
4m	10061	5146	3363	2565	2054	1711	1468	1285	1238	1197	1167	1137	1123	1082	1084	1077	1061	1067	1054	1041	1018	1020	1014	992	1084	1135	1204	1268	1374	1458	1634	1097	
2m	10130	5202	3472	2603	2079	1728	1482	1297	1276	1292	1330	1407	1553	1792	2112	1111	2652	3059	3155	3368	3567	3887	4263	4697	4878	5777	7352	7971	7761	7040	7485	1096	
1024k	12345	9104	7591	6248	5227	4446	3788	3343	4272	5058	6052	7869	7971	8083	7771	2838	7973	7933	7983	8156	8007	8090	8029	8051	8082	7979	7873	7896	7796	7782	7470	2751	
512k	14154	11622	11327	11221	10534	9731	8803	7946	7874	7849	7833	7816	7766	7727	7607	6545	7600	7569	7543	7610	7750	7680	7680	7688	7594	7663	7459	7622	7486	7501	7218	5349	
256k	14512	11911	11825	11895	11591	11015	10322	10156	8863	9082	8304	8349	8414	8403	8231	6447	8159	8410	8287	8314	8304	8323	8229	8424	8128	8253	7948	8071	8083	8029	7607	5308	
128k	14431	11924	11724	11866	11284	10674	9669	8873	8402	8448	8294	9192	8287	8310	8079	6493	8046	8322	8053	8124	8874	8161	8484	8533	8885	7960	11744	8833	9350	13725	15191	5218	
64k	14457	11767	11819	11774	11316	10904	9855	9619	8550	8456	8613	8467	8426	8590	11971	10780	15218	15490	14472	15853	15732	17869	17624	16219	14978	15121	13869	16139	15230	14892	17618	5163	
32k	18307	17682	17570	16950	16316	15984	16522	15458	16422	16112	18050	15168	15751	16715	16588	14806	16286	14183	13979	16659	14183	15404	14732	13882	11229	13746	11373	13001	14113	15238	17142	9453	
16k	17907	17369	17067	16277	16381	17614	15262	15959	16060	17243	16245	15168	14824	14041	15601	12048	15206	14369	11244	11986	13372	12401	13351	11692	11560	9220	7421	11701	8058	13105	9052	6024	
